Text,URL
['[SALAH] “Vaksin covid-19 itu telah bermutasi menjadi ribuan covid-19 baru di seluruh dunia”'],https://turnbackhoax.id/2021/01/18/salah-vaksin-covid-19-itu-telah-bermutasi-menjadi-ribuan-covid-19-baru-di-seluruh-dunia/
"['[SALAH] Jika Sudah Disuntik Vaksin Covid-19, Tidak Perlu Mematuhi Protokol Kesehatan']",https://turnbackhoax.id/2021/01/17/salah-jika-sudah-disuntik-vaksin-covid-19-tidak-perlu-mematuhi-protokol-kesehatan/
['[SALAH] Obat Covid-19 dari Asap Batok Kelapa'],https://turnbackhoax.id/2021/01/13/salah-obat-covid-19-dari-asap-batok-kelapa/
"['[SALAH] Video “antri Pemakaman Covid-19 di Tegal Alur,JKT. Hidup antri, mau dikuburpun antri.”']",https://turnbackhoax.id/2021/01/13/salah-video-antri-pemakaman-covid-19-di-tegal-alurjkt-hidup-antri-mau-dikuburpun-antri/
['[SALAH] Hirup Uap Air Panas Dua Kali Sehari Dapat Menangkal Covid-19'],https://turnbackhoax.id/2021/01/13/salah-hirup-uap-air-panas-dua-kali-sehari-dapat-menangkal-covid-19/
['[SALAH] Tiongkok dan Luhut Pandjaitan Merencanakan Pembunuhan Massal Terhadap Pribumi dengan 40 Ribu Ton Alat Tes Covid-19'],https://turnbackhoax.id/2021/01/12/salah-tiongkok-dan-luhut-pandjaitan-merencanakan-pembunuhan-massal-terhadap-pribumi-dengan-40-ribu-ton-alat-tes-covid-19/
['[SALAH] Setengah Karyawan BTC Pangkalpinang Positif Covid-19'],https://turnbackhoax.id/2021/01/12/salah-setengah-karyawan-btc-pangkalpinang-positif-covid-19/
['[SALAH] “COVID-19 adalah tipuan terbesar yang pernah dilakukan dan hanya flu buruk lainnya”'],https://turnbackhoax.id/2021/01/11/salah-covid-19-adalah-tipuan-terbesar-yang-pernah-dilakukan-dan-hanya-flu-buruk-lainnya/
['[SALAH] Hanya 13 Ribu Orang di Britania Raya yang Terinfeksi Covid-19 pada Tahun 2020'],https://turnbackhoax.id/2021/01/09/salah-hanya-13-ribu-orang-di-britania-raya-yang-terinfeksi-covid-19-pada-tahun-2020/
['[SALAH] Pinjaman Dana Bantuan Covid-19 oleh Bupati Pasuruan Irsyad Yusuf'],https://turnbackhoax.id/2021/01/08/salah-pinjaman-dana-bantuan-covid-19-oleh-bupati-pasuruan-irsyad-yusuf/
['[SALAH] Hydro Oxy Mouth Freshener Spray Dapat Cegah dan Sembuhkan Virus Covid-19'],https://turnbackhoax.id/2021/01/07/salah-hydro-oxy-mouth-freshener-spray-dapat-cegah-dan-sembuhkan-virus-covid-19/
['[SALAH] “Vaksin Sinovac Covid-19 yang akan di suntikkan kepada warga hanya untuk kelinci percobaan”'],https://turnbackhoax.id/2021/01/06/salah-vaksin-sinovac-covid-19-yang-akan-di-suntikkan-kepada-warga-hanya-untuk-kelinci-percobaan/
['[SALAH] Tulisan dr. Siti Fadillah terkait Pengobatan Covid-19'],https://turnbackhoax.id/2021/01/05/salah-tulisan-dr-siti-fadillah-terkait-pengobatan-covid-19/
['[SALAH] Resep Campuran Teh Hijau dan Lemon Untuk Atasi Covid-19'],https://turnbackhoax.id/2021/01/05/salah-resep-campuran-teh-hijau-dan-lemon-untuk-atasi-covid-19/
['[SALAH] Video Ribuan Jamaah Tanpa Masker Sambut Kedatangan Ustadz Abdul Somad di Tengah Pandemi Covid-19'],https://turnbackhoax.id/2021/01/02/salah-video-ribuan-jamaah-tanpa-masker-sambut-kedatangan-ustadz-abdul-somad-di-tengah-pandemi-covid-19/
['[SALAH] “Bill Gates mengatakan dia tidak akan divaksinasi dan CEO Pfizer juga menunda menerima vaksin covid-19”'],https://turnbackhoax.id/2021/01/02/salah-bill-gates-mengatakan-dia-tidak-akan-divaksinasi-dan-ceo-pfizer-juga-menunda-menerima-vaksin-covid-19/
